free_m : used_m : free_s : used_s
293.5 : 524.7 : 844.6 : 179.4
258.8 : 559.3 : 844.6 : 179.4
232.1 : 585.9 : 844.6 : 179.4
196.8 : 621.2 : 844.6 : 179.4
168.6 : 649.5 : 844.6 : 179.4
137.4 : 680.6 : 844.6 : 179.4
105.4 : 712.7 : 844.6 : 179.4
75.4 : 742.6 : 844.6 : 179.4
62.5 : 765.8 : 839.6 : 184.4
69.9 : 786.6 : 839.6 : 184.4
83.4 : 818.7 : 839.6 : 184.4
62.5 : 848.1 : 839.4 : 184.6
75.2 : 844.1 : 812.7 : 211.3
69.3 : 849.0 : 791.6 : 232.4
73.4 : 845.7 : 758.1 : 265.9
64.6 : 854.5 : 738.8 : 285.2
71.4 : 849.7 : 708.3 : 315.7
65.5 : 855.9 : 689.1 : 334.9
70.3 : 852.0 : 657.4 : 366.6
60.8 : 861.8 : 638.0 : 386.0
61.7 : 860.9 : 608.9 : 415.1
64.5 : 857.7 : 583.8 : 440.2
60.1 : 861.6 : 556.2 : 467.8
64.0 : 857.9 : 518.6 : 505.4
71.2 : 850.8 : 497.5 : 526.5
65.1 : 857.0 : 475.4 : 548.6
65.4 : 857.3 : 449.9 : 574.1
64.5 : 858.6 : 424.9 : 599.1
70.4 : 852.8 : 397.6 : 626.4
60.2 : 862.9 : 385.3 : 638.7
66.7 : 856.6 : 359.6 : 664.4
83.9 : 839.6 : 324.9 : 699.1
62.4 : 859.6 : 322.9 : 701.1
77.2 : 845.4 : 297.7 : 726.3
76.2 : 849.6 : 287.4 : 736.6
74.2 : 844.3 : 262.5 : 761.5
67.1 : 851.0 : 250.0 : 774.0
73.1 : 847.4 : 213.4 : 810.6
68.2 : 852.7 : 200.7 : 823.3
68.0 : 853.9 : 182.6 : 841.4
85.5 : 837.0 : 157.4 : 866.6
75.4 : 847.1 : 150.9 : 873.1
60.5 : 862.5 : 138.1 : 885.9
72.9 : 850.1 : 113.1 : 910.9
61.7 : 861.3 : 101.0 : 923.0
67.1 : 856.2 : 78.3 : 945.7
71.9 : 851.5 : 57.8 : 966.2
66.6 : 855.6 : 39.1 : 984.9
73.7 : 848.3 : 4.4 : 1019.6
66.2 : 862.4 : 0.0 : 1024.0
322.1 : 595.8 : 403.6 : 620.4
297.0 : 613.0 : 403.6 : 620.4
283.5 : 626.5 : 403.6 : 620.4
271.2 : 638.7 : 403.6 : 620.4
259.8 : 650.2 : 403.6 : 620.4
244.8 : 665.2 : 403.6 : 620.4
231.6 : 678.3 : 403.6 : 620.4
219.5 : 690.5 : 403.6 : 620.4
209.8 : 700.1 : 403.6 : 620.4
195.0 : 715.0 : 403.6 : 620.4
180.3 : 729.6 : 403.6 : 620.4
169.6 : 740.4 : 403.6 : 620.4
157.7 : 751.9 : 403.6 : 620.4
146.6 : 763.0 : 403.6 : 620.4
133.0 : 776.6 : 403.6 : 620.4
123.9 : 785.7 : 403.6 : 620.4
110.6 : 799.0 : 403.6 : 620.4
100.5 : 809.1 : 403.6 : 620.4
90.0 : 819.6 : 403.6 : 620.4
77.4 : 832.2 : 403.6 : 620.4
63.0 : 846.6 : 403.6 : 620.4
62.9 : 847.0 : 399.2 : 624.8
77.9 : 833.7 : 370.7 : 653.3
72.0 : 840.5 : 365.6 : 658.4
67.2 : 845.4 : 360.2 : 663.8
76.4 : 836.9 : 347.3 : 676.7
66.8 : 846.8 : 344.3 : 679.7
58.9 : 855.2 : 334.9 : 689.1
58.8 : 855.8 : 329.5 : 694.5
64.8 : 851.5 : 313.3 : 710.7
63.5 : 855.1 : 305.4 : 718.6
71.1 : 849.9 : 294.5 : 729.5
64.1 : 857.5 : 290.2 : 733.8
76.5 : 849.2 : 269.9 : 754.1
68.5 : 845.2 : 258.0 : 766.0
70.3 : 844.0 : 250.8 : 773.2
65.9 : 848.6 : 240.6 : 783.4
70.8 : 844.1 : 227.4 : 796.6
68.2 : 847.1 : 220.2 : 803.8
70.7 : 845.4 : 210.0 : 814.0
75.7 : 841.4 : 196.7 : 827.3
72.9 : 845.0 : 183.6 : 840.4
68.0 : 850.2 : 176.6 : 847.4
68.0 : 851.3 : 164.4 : 859.6
61.9 : 857.0 : 163.9 : 860.1
76.7 : 843.3 : 143.6 : 880.4
61.7 : 858.3 : 143.6 : 880.4
70.6 : 850.3 : 126.2 : 897.8
65.7 : 855.6 : 117.2 : 906.8
67.2 : 854.3 : 111.7 : 912.3
64.8 : 856.6 : 104.8 : 919.2
72.9 : 849.2 : 79.6 : 944.4
66.8 : 855.4 : 79.6 : 944.4
70.6 : 851.8 : 66.1 : 957.9
64.4 : 857.9 : 57.2 : 966.8
66.5 : 855.9 : 53.8 : 970.2
69.1 : 852.7 : 41.6 : 982.4
63.9 : 857.9 : 29.1 : 994.9
72.4 : 849.6 : 13.8 : 1010.2
70.2 : 851.8 : 6.7 : 1017.3
65.8 : 856.2 : 0.3 : 1023.7
59.2 : 867.0 : 0.1 : 1023.9
