process1 : process2 : process3 : process4 : proccess5
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : python3 : systemd : init-systemd(Ub
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : mem.sh : mem2.sh : systemd
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : snapfuse : mem2.sh : snapfuse
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : awk : free : free
mem2.sh : snapfuse : snapfuse : systemd : init-systemd(Ub
mem2.sh : snapfuse : snapfuse : python3 : systemd
mem2.sh : mem2.sh : systemd : init-systemd(Ub : init
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : mem2.sh : mem2.sh : systemd : init-systemd(Ub
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : python3 : systemd : init-systemd(Ub : init
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : mem2.sh : mem2.sh : init-systemd(Ub
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : mem2.sh : mem2.sh : systemd : init-systemd(Ub
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : mem2.sh : systemd : init-systemd(Ub : init
mem2.sh : snapfuse : systemd : init-systemd(Ub : init
mem2.sh : snapfuse : snapfuse : python3 : systemd
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : python3 : systemd : init-systemd(Ub : init
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : mem2.sh : systemd : init-systemd(Ub : init
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : python3 : init-systemd(Ub : init
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : mem2.sh : mem2.sh : systemd : init-systemd(Ub
mem2.sh : top : systemd : init-systemd(Ub : init
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
mem2.sh : systemd : init-systemd(Ub : init : systemd-journal
snapfuse : mem2.sh : mem2.sh : mem2.sh : systemd
