process1 : process2 : process3 : process4 : proccess5
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : python3 : systemd : init-systemd(Ub
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : snapfuse : systemd : init-systemd(Ub
mem2.sh : mem.sh : snapfuse : systemd : init-systemd(Ub
mem.sh : mem2.sh : snapfuse : systemd : init-systemd(Ub
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : snapfuse : systemd : init-systemd(Ub
mem.sh : mem2.sh : systemd : python3.10 : init-systemd(Ub
mem.sh : mem2.sh : mem2.sh : systemd : init-systemd(Ub
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : python3 : systemd : init-systemd(Ub
mem.sh : mem2.sh : mem2.sh : mem2.sh : systemd
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem.sh : mem2.sh : mem2.sh : mem.sh : systemd
mem.sh : mem2.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : snapfuse : systemd : init-systemd(Ub
mem2.sh : mem.sh : snapfuse : systemd : init-systemd(Ub
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : systemd : init-systemd(Ub : init
mem2.sh : mem.sh : mem.sh : systemd : init-systemd(Ub
